factual_id,brand,name,size,category,upc,ean13,upc_e,ingredients,servings,serving_size,calories,fat_calories,total_fat,sat_fat,trans_fat,cholesterol,sodium,potassium,total_carbs,dietary_fiber,sugars,protein,manufacturer,avgPrice,image_urls,userName
3fc2094f-a874-4429-abc7-ba88f7e27cc4,Pebbles,Cinna-Crunch,13 oz; 368 g,Breakfast Foods,43000129913,43000129913,,Sugar#Whole Grain Oat Flour#Corn Flour#Wheat#Partially Hydrogenated Sunflower Oil#Salt#Cinnamon#Turmeric (Color)#BHT Added To Packaging To Preserve Product Freshness#Vitamins#Minerals: Niacinamide#Reduced Iron#Zinc Oxide (Source Of Zinc)#Vitamin B6#Vitamin A Palmitate#Thiamin Mononitrate (Vitamin B1)#Riboflavin (Vitamin B2)#Folic Acid#Vitamin B12#Vitamin D,12,1-1/4 cup (31 g),130,15,1.5,0,0,0,110,25,,1,16,1,Cadbury,1.89,http://ct.mywebgrocer.com/legacy/productimagesroot/DJ/4/70814.jpg,null
7e297de5-0e90-487f-8f50-853bb5e108c0,Fuse,Fuel Cabernet Sauvignon 2008 Wine,750 ml,Food,7.52E+11,7.52E+11,,,,,,,,,,,,,,,,,Cadbury,19.99,http://img01.static-nextag.com/image/FUEL-Cabernet-Sauvignon-2008/1/000/008/989/242/898924258.jpg,null
077c06f4-d941-4fb1-8700-e81d9a39ce52,Pebbles,Cereal Marshmallow Mania,11.5 oz; 326 g,Breakfast Foods,43000129821,43000129821,,,12,28 g,110,5,0.5,0,0,0,60,35,,1,13,1,Cadbury,2.95,http://ct.mywebgrocer.com/legacy/productimagesroot/DJ/8/353978.jpg,null
89cc3802-3f18-48c2-9b29-fd4ca272b409,Tempo,Sloppy Joe Mix,2 oz,Extracts# Herbs & Spices,41409000802,41409000802,,Yellow Corn Flour#Sugar#Dextrose#Onion#Salt#Spices#Garlic#Green Bell Pepper#Celery Seed#Natural Flavor,6,1 tablespoon,30,0,0,0,0,0,490,610,,0,4,0,Cadbury,1.08,http://ct.mywebgrocer.com/legacy/productimagesroot/DJ/9/41019.jpg#http://ecx.images-amazon.com/images/I/51J3ZGYR5DL._SY300_.jpg,null
54ed6dbd-d792-44e0-93cd-4d84d861dff8,Pebbles,Cereal,3.75 oz; 106 g,Breakfast Foods,43000129937,43000129937,,Packaging Material To Preserve Product Freshness#Vitamins#Minerals: Niacinamide#Reduced Iron#Zinc Oxide (Source Of Zinc)#Vitamin B6#Vitamin A Palmitate#Thiamin Mononitrate (Vitamin B1)#Riboflavin (Vitamin B2)#Folic Acid#Vitamin B12#Vitamin D,3,1.25 cup,130,15,1.5,0,0,0,110,25,,1,16,1,Cadbury,,null,null
a0a599e1-fe25-4426-8e93-24b7fcb42b14,Picnic,Luncheon Meat,12 oz; 340 g,,53400342447,53400342447,,Mechanically Separated Chicken#Salt#Sugar#Sodium Tripolyphosphate#Flavorings#Sodium Ascorbate#Sodium Nitrate,6,1 oz,110,80,9,2,0,35,490,0,,0,0,8,Cadbury,,null,null
32498d30-6894-4303-8cce-9ccae6f63a63,Tempo,Seafood Bake Lemon Dill,3.5 oz,Bread,41409000406,41409000406,,,9,1.5 tablespoon,40,0,0,0,0,0,210,610,,0,1,1,Cadbury,,http://ct.mywebgrocer.com/legacy/productimagesroot/DJ/3/636233.jpg#http://ecx.images-amazon.com/images/I/51QKY17K8BL._SL500_AA300_PIbundle-12#TopRight#0#0_AA300_SH20_.jpg,null
8f2041b0-cb7e-41c7-a4c3-d12439bb8de6,Tempo,Supreme Breading Plain,4.25 oz; 120 g,Bread,41409000604,41409000604,,Wheat Flour#Malted Barley Flour#Yellow Corn Flour#Cornstarch#Nonfat Dry Milk#Sugar#Sodium Acid Pyrophosphate#Sodium Bicarbonate (For Leavening)#Salt#Guar Gum#Egg Whites#Artificial Flavor,4,3 tablespoon,100,5,0,0,0,0,470,610,,0,3,3,Cadbury,2.05,http://ct.mywebgrocer.com/legacy/productimagesroot/DJ/3/636243.jpg,null
70952181-4606-4b00-89d0-3c311803771b,Tempo,Car Case Starter Kit,1 kit,Face Makeup,37000352525,37000352525,,,,,,,,,,,,,,,,,Cadbury,12.87,http://img01.static-nextag.com/image/Tempo-Black-Leather-Car/1/000/012/607/751/1260775122.jpg,null
34416d0b-12c4-4681-ac6b-0cdc1d745fcd,Double Decker,Moon Pie,2.75 oz; 78 g,Cakes,72108010120,72108010120,,Enriched Flour#Wheat Flour#Niacin#Reduced Iron#Thiamine Mononitrate#Riboflavin#Folic Acid#Corn Syrup#High Fructose Corn Syrup#Sugar#Partially Hydrogenated Vegetable Oil#Palm Kernel#Coconut & Palm#Defeated Soy Flour#Soybean Oil#Gelatin#Baking Soda#Salt#Soy Lecithin#Sodium Acid Pyrophosphate#Sodium Sulfite#Natural & Artificial Flavors#Color Added,1,1 package,300,70,7,5,0,0,230,0,,1,27,4,Cadbury,,null,null
dee349c4-26a6-4d98-a957-e7c09bb17f49,Tempo,Italian Meatball Mix,2.75 oz,Extracts# Herbs & Spices,41409000208,41409000208,,,7,1.5 tablespoon,35,5,0.5,2.5,0,65,310,610,,1,3,1,Cadbury,0.88,http://ct.mywebgrocer.com/legacy/productimagesroot/DJ/7/41017.jpg#http://ecx.images-amazon.com/images/I/51A93ND9X5L._SL500_AA300_.jpg,null
acff0de3-1331-45ce-95a0-4ef2aeb96f97,Twirl,T3 1-1 Curling Iron,4 in,Hair Care,8.83E+11,8.83E+11,,,,,,,,,,,,,,,,,Cadbury,87.5,http://ecx.images-amazon.com/images/I/21tgCvzQYkL._SL500_AA300_.jpg#http://img01.static-nextag.com/image/T3-Twirl-1-1/1/000/007/205/751/720575122.jpg,null
1abeb1e4-8914-4a2c-a0d3-2543792e60f0,Tempo,Chili Mix Southwestern Old Style,2 oz,Sauces,41409000901,41409000901,,Dextrose#Yellow Corn Flour#Salt#Spices#Onion#Paprika (For Color)#Garlic Powder#Natural Flavors,3,1.5 teaspoon,300,5,0.5,0,0,0,1210,610,,1,6,1,Cadbury,1.18,http://ct.mywebgrocer.com/legacy/productimagesroot/DJ/0/41020.jpg#http://ecx.images-amazon.com/images/I/51A15N0WHVL._SL500_AA300_.jpg,null
c2ba2a87-57bb-42b1-9dc6-266b2e80e1ca,Picnic,Potted Meat Food Product,3 oz; 85 g,Prepared Meals,53400330444,53400330444,,Mechanically Separated Chicken#Defatted Cooked Beet Fatty Tissue#Beef Tripp#Water#No More Than 2% Of: Corn Syrup#Flavorings#Vinegar#Salt#Dextrose#Extracts Of Paprika#Sodium Nitrate,,,,,,,,,,,,,,,Cadbury,,null,null
0749a2aa-3acc-4099-862c-f57a490cad1f,Chomp,Yip Yap Dog Breath Fresh,,Pet Care,8.11E+11,8.11E+11,,,,,,,,,,,,,,,,,Cadbury,,http://ak.buy.com/PI/0/250/211946667.jpg,null
